,username,date,content,preprocess_content,sentiment,sentiment_score
12,5870,2021-04-20,"@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari And he Pampers the herdsmen, or are they not a terrorist group too?",babangidarimi1 yelesowore mbuhari endsars mbujari pampers herdsmen terrorist group,negative,0.9994251728057861
13,3942,2021-04-20,@Prince74143920 @YeleSowore @MBuhari @EndSars @mbujari just like your father.,prince74143920 yelesowore mbuhari endsars mbujari like father,positive,0.9809839725494385
14,6288,2021-04-20,@YeleSowore @MBuhari @EndSars @mbujari And you looking for power and money,yelesowore mbuhari endsars mbujari looking power money,positive,0.9928203225135803
15,1910,2021-04-20,"@YeleSowore @MBuhari @EndSars @mbujari Confirm terrorist, we should expect continuity of killing and hardship.",yelesowore mbuhari endsars mbujari confirm terrorist expect continuity killing hardship,negative,0.9950006604194641
16,6044,2021-04-20,@Nlechoppa1 Stay up forever real Geezer @Nlechoppa1 @Endsars #EndSARS #EndPoliceBrutalityinNigeria,nlechoppa1 stay forever real geezer nlechoppa1 endsars endsars endpolicebrutalityinnigeria,positive,0.8475211262702942
17,4154,2021-04-20,@YeleSowore @MBuhari @EndSars @mbujari We're amugbo,yelesowore mbuhari endsars mbujari amugbo,negative,0.5226075649261475
18,993,2021-04-20,"@YeleSowore @MBuhari @EndSars @mbujari Continuity of terrorism, lack and massive display of ineffective governance.",yelesowore mbuhari endsars mbujari continuity terrorism lack massive display ineffective governance,negative,0.9992626309394836
19,3136,2021-04-20,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Again: BIG FOOL,bigdaddy01 yelesowore mbuhari endsars mbujari big fool,negative,0.9917599558830261
20,3369,2021-04-20,"@MoyinoluwaVict4 @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari What's ma? 
Is he your mother?  😂",moyinoluwavict4 bigdaddy01 yelesowore mbuhari endsars mbujari whats ma mother ,positive,0.9609051942825317
21,3369,2021-04-20,"@juxcnote @bunmifasae @mcashwide @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You are pained by the 2019 election, breathe if you agree 😂",juxcnote bunmifasae mcashwide bigdaddy01 yelesowore mbuhari endsars mbujari pained 2019 election breathe agree ,positive,0.5431721806526184
22,3369,2021-04-20,@mcashwide @_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You are pained by the 2019 election breath if you agree 😂,mcashwide bigdaddy01 yelesowore mbuhari endsars mbujari pained 2019 election breath agree ,negative,0.5320701599121094
23,2837,2021-04-20,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari What about brothers?,babangidarimi1 yelesowore mbuhari endsars mbujari brothers,positive,0.9226871132850647
24,3529,2021-04-19,@YeleSowore @MBuhari @EndSars @mbujari What can we do?,yelesowore mbuhari endsars mbujari,negative,0.6848366260528564
25,1221,2021-04-19,@YeleSowore @MBuhari @EndSars @mbujari Nigeria won't be handed over to you with this type of rascality. You may need to try other means!,yelesowore mbuhari endsars mbujari nigeria wont handed type rascality need try means,negative,0.9830600619316101
26,5607,2021-04-19,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari That's why you are a fool!,babangidarimi1 yelesowore mbuhari endsars mbujari thats fool,negative,0.9942820072174072
27,2518,2021-04-19,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You will later pity that man bcus it's in Bible don't destroy your brother but he did not listen he has chosen his own way of destroying others with lies and fake write ups,bigdaddy01 yelesowore mbuhari endsars mbujari later pity man bcus bible dont destroy brother listen chosen way destroying lies fake write ups,negative,0.9662577509880066
28,3488,2021-04-19,"@YeleSowore @MBuhari @EndSars @mbujari @SoworeOmoyele I don't know how you will be able to face the judgement of God that will soon come upon you. So you knew Buhari is a terrorist, and you used your Platform to deceive Nigerians to vote for him? Buhari's terrorist activities will soon catch up with you. Nonsense.",yelesowore mbuhari endsars mbujari soworeomoyele dont know able face judgement god soon come knew buhari terrorist platform deceive nigerians vote buharis terrorist activities soon catch nonsense,negative,0.9763219356536865
29,4307,2021-04-19,@YeleSowore @MBuhari @EndSars @mbujari I now know you will soon choke on your hatered of Buhari. You have totally lost your senses. You're like a hungry lion between a herd of buffaloes fighting for his life. We all know what the outcome will be. The End!,yelesowore mbuhari endsars mbujari know soon choke hatered buhari totally lost senses youre like hungry lion herd buffaloes fighting life know outcome end,negative,0.998477041721344
30,3942,2021-04-19,"@horlayemmy @YeleSowore @MBuhari @EndSars @mbujari thank you crude olodo, buruku! God have mercy on you.",horlayemmy yelesowore mbuhari endsars mbujari thank crude olodo buruku god mercy,positive,0.963444709777832
31,5315,2021-04-19,@Abubakar_myusuf @Nejovi2 @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari No one will insult you if you are not displaying any symptom of stupidity or ignorance on a social media platform...”for every action there is always an equal and opposite reaction”,abubakarmyusuf nejovi2 babangidarimi1 yelesowore mbuhari endsars mbujari insult displaying symptom stupidity ignorance social media platform”for action equal opposite reaction”,negative,0.9990078806877136
32,3942,2021-04-19,@Prince74143920 @YeleSowore @MBuhari @EndSars @mbujari and this filthy pig? what exactly are you blabing?,prince74143920 yelesowore mbuhari endsars mbujari filthy pig exactly blabing,negative,0.9999592304229736
33,3942,2021-04-19,"@NPMsmoothie @YeleSowore @MBuhari @EndSars @mbujari who are you to judge people either bad or good, I hope you were good.",npmsmoothie yelesowore mbuhari endsars mbujari judge people bad good hope good,negative,0.8207524418830872
34,3942,2021-04-19,"@MoyinoluwaVict4 @YeleSowore @MBuhari @EndSars @mbujari that is if you are the one presiding over people's souls, ...taught.",moyinoluwavict4 yelesowore mbuhari endsars mbujari presiding peoples souls taught,positive,0.986568808555603
35,3942,2021-04-19,"@WaleJimoh10 @YeleSowore @MBuhari @EndSars @mbujari you look like a gentleman now, alias, agbero!!! sorry",walejimoh10 yelesowore mbuhari endsars mbujari look like gentleman alias agbero sorry,negative,0.9992582201957703
36,2764,2021-04-19,@adekzee1 @YeleSowore @MBuhari @EndSars @mbujari #ESN and #IPOB are not terrorists.they are protecting the south east from the terrorist created by @MBuhari to wipe other region out and islamize the country,adekzee1 yelesowore mbuhari endsars mbujari esn ipob terroriststhey protecting south east terrorist created mbuhari wipe region islamize country,negative,0.6479637622833252
37,790,2021-04-19,"@YeleSowore @bamanalist @MBuhari @EndSars @mbujari But you are still supporting One failed useless Nigeria, #SayNoTo1Nigeria #EndNigeriaNow #DivideNigeria #BiafraExit #Stop",yelesowore bamanalist mbuhari endsars mbujari supporting failed useless nigeria saynoto1nigeria endnigerianow dividenigeria biafraexit stop,negative,0.9788039326667786
38,2086,2021-04-19,"@YeleSowore @ayemojubar @MBuhari @EndSars @mbujari To those southern one Nigerianists have u ever sat down and think about the people u doing one Nigeria wit.the Northern Nomadic Fulani People that only contribute terrorism, economy disaster,massive looting,nomadic and backwardness to the one Nigeria
@YeleSowore 
@MaziNnamdiKanu https://t.co/lxhqaOQFzH",yelesowore ayemojubar mbuhari endsars mbujari southern nigerianists u sat think people u nigeria witthe northern nomadic fulani people contribute terrorism economy disastermassive lootingnomadic backwardness nigeria yelesowore mazinnamdikanu,negative,0.941253125667572
39,4404,2021-04-19,@YeleSowore @ayemojubar @MBuhari @EndSars @mbujari We must never exclude @GovWike from that crime against humanity in Obigbo. Shameful Wike the #littlehitler is a murderer.,yelesowore ayemojubar mbuhari endsars mbujari exclude govwike crime humanity obigbo shameful wike littlehitler murderer,negative,0.9880293011665344
40,1148,2021-04-19,@YeleSowore @MBuhari @EndSars @mbujari Northerners are the problem of this country.,yelesowore mbuhari endsars mbujari northerners problem country,negative,0.8483664989471436
41,6221,2021-04-19,"@JessicaOgwatar @MBuhari @EndSars @mbujari Ever since he took over, terrorism spreads like wildfire in Nigeria",jessicaogwatar mbuhari endsars mbujari took terrorism spreads like wildfire nigeria,negative,0.9255898594856262
42,6221,2021-04-19,@JessicaOgwatar @MBuhari @EndSars @mbujari Boko Haram Patron,jessicaogwatar mbuhari endsars mbujari boko haram patron,positive,0.8199630975723267
43,4728,2021-04-19,@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Which you are number one among them,babangidarimi1 leezamba yelesowore mbuhari endsars mbujari number,positive,0.7038094997406006
44,5315,2021-04-19,@ayfbeloved @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Am also waiting for his response on this ☝️,ayfbeloved babangidarimi1 yelesowore mbuhari endsars mbujari waiting response ,negative,0.8355134129524231
45,4045,2021-04-19,@Obiejazzyup @YeleSowore @MBuhari @EndSars @mbujari Is Buhari the sponsor of ESN and IPOB terrorizing the SE region too?,obiejazzyup yelesowore mbuhari endsars mbujari buhari sponsor esn ipob terrorizing se region,negative,0.7024197578430176
46,1968,2021-04-19,Buhari is a terrorist: @mbuhari ordered the massacre of  1k Shiites in one night; he ordered the massacre of  #IPOB members at a peaceful gathering in a secondary schl; he  ordered the massacre of peaceful  @endsars protesters at #Lekkitollgate @mbujari ordered killings at Obigbo,buhari terrorist mbuhari ordered massacre 1k shiites night ordered massacre ipob members peaceful gathering secondary schl ordered massacre peaceful endsars protesters lekkitollgate mbujari ordered killings obigbo,negative,0.9924647808074951
47,2664,2021-04-19,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Very soon you will also be flushed out. Aboki janjaweed,babangidarimi1 yelesowore mbuhari endsars mbujari soon flushed aboki janjaweed,positive,0.7536532878875732
48,4812,2021-04-19,"@couture_fh @YeleSowore @MBuhari @EndSars @mbujari I believe we need to focus on ""End badgovernance"" by ensuring only the right persons are elected onwards. When this is successfully done, a referendum for Biafra and Odua exit would be possible without bloodshed.",couturefh yelesowore mbuhari endsars mbujari believe need focus end badgovernance ensuring right persons elected onwards successfully referendum biafra odua exit possible bloodshed,positive,0.859516441822052
49,4244,2021-04-19,"@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Hope you know your government is giving them amnesty and robbing hands with them? This government needs to be flush out ryt? Pls say something about pantami, bandits and Fulani herdsmen",babangidarimi1 leezamba yelesowore mbuhari endsars mbujari hope know government giving amnesty robbing hands government needs flush ryt pls pantami bandits fulani herdsmen,negative,0.7970607280731201
50,4795,2021-04-19,"@YeleSowore @MBuhari @EndSars @mbujari Please note how the reported has been ""encouraged"" to say ""well deserved rest"". In reality, Buhari was ousted by diaspora Nigerians.",yelesowore mbuhari endsars mbujari note reported encouraged deserved rest reality buhari ousted diaspora nigerians,positive,0.6337664723396301
51,4564,2021-04-19,@monami911 @TonyMatt14 @YeleSowore @EndSars OMG! You just said it all!,monami911 tonymatt14 yelesowore endsars omg said,negative,0.5644962191581726
52,4651,2021-04-19,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You have made your dim tweet. Now go and collect your N500,bigdaddy01 yelesowore mbuhari endsars mbujari dim tweet collect n500,negative,0.9995792508125305
53,6473,2021-04-19,@YeleSowore @MBuhari @EndSars @mbujari Continuity to your hardship Regime abi.  God is watching you,yelesowore mbuhari endsars mbujari continuity hardship regime abi god watching,negative,0.7783149480819702
54,6473,2021-04-19,@adurojadgreat @babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Don't blame him he is a cow,adurojadgreat babangidarimi1 leezamba yelesowore mbuhari endsars mbujari dont blame cow,negative,0.8522736430168152
55,6473,2021-04-19,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Boko haram is not a terrorist aboki mumu boi,babangidarimi1 yelesowore mbuhari endsars mbujari boko haram terrorist aboki mumu boi,negative,0.9332039952278137
56,50,2021-04-19,"@YeleSowore @MBuhari @EndSars @mbujari Man all your claims are baseless 🤨. We all know Shiites are naturally terrorists, IPOB have evil intents to destroy the country while no one died at the Lekki toll gate...hide your face man you a thief !",yelesowore mbuhari endsars mbujari man claims baseless 🤨 know shiites naturally terrorists ipob evil intents destroy country died lekki toll gatehide face man thief,negative,0.997631311416626
57,5279,2021-04-19,"@YeleSowore @MBuhari @EndSars @mbujari Avram Sowore grant, wehdon sa",yelesowore mbuhari endsars mbujari avram sowore grant wehdon sa,positive,0.9940886497497559
58,159,2021-04-19,@lee_zamba @Nejovi2 @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari One thing in common about you southerners is insult....,leezamba nejovi2 babangidarimi1 yelesowore mbuhari endsars mbujari thing common southerners insult,negative,0.9992904663085938
59,2756,2021-04-19,@YeleSowore @MBuhari @EndSars @mbujari It's time we rise up in unity and strong protest to say no to this barbaric governance.,yelesowore mbuhari endsars mbujari time rise unity strong protest barbaric governance,negative,0.8644338846206665
60,3828,2021-04-19,@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Fulani Herdsmen?,babangidarimi1 leezamba yelesowore mbuhari endsars mbujari fulani herdsmen,negative,0.5710626244544983
61,5993,2021-04-19,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari FOOLS.... Dementia is ur problem,babangidarimi1 yelesowore mbuhari endsars mbujari fools dementia ur problem,negative,0.9974021911621094
62,4220,2021-04-19,@MoyinoluwaVict4 @TtifeB @YeleSowore @MBuhari @EndSars @mbujari Please you people should pay that lady her grant,moyinoluwavict4 ttifeb yelesowore mbuhari endsars mbujari people pay lady grant,negative,0.5832591652870178
63,4220,2021-04-19,@MoyinoluwaVict4 @TtifeB @YeleSowore @MBuhari @EndSars @mbujari I know you chop something among the grand,moyinoluwavict4 ttifeb yelesowore mbuhari endsars mbujari know chop grand,positive,0.987297534942627
64,2518,2021-04-19,@TtifeB @YeleSowore @MBuhari @EndSars @mbujari Sowore is not Buhari mate when it comes humanity and tolerance ...but it's just a pity that you're hiding your picture on this app bcus you're a coward ...if e sure for you upload your picture make we see who dey call sowore sowogrant ...I know they're paying you for doing this,ttifeb yelesowore mbuhari endsars mbujari sowore buhari mate comes humanity tolerance pity youre hiding picture app bcus youre coward e sure upload picture dey sowore sowogrant know theyre paying,positive,0.67555832862854
65,2518,2021-04-19,@EweteOluwasegun @YeleSowore @MBuhari @EndSars @mbujari Bring forth your proofs and evidence ....na so you said sowore was working for APC back then now it's Grant ...and still yet your family name no popular reach sowore name in this world,eweteoluwasegun yelesowore mbuhari endsars mbujari bring forth proofs evidence na said sowore working apc grant family popular reach sowore world,positive,0.9944024682044983
66,2518,2021-04-19,"@EmekaEdeh @YeleSowore @MBuhari @EndSars @mbujari What's your warnings? And while Jonathan was in office was Nigeria getting better among it pals?
PDP is bad
APC is worst 
Stop defending any of them",emekaedeh yelesowore mbuhari endsars mbujari whats warnings jonathan office nigeria getting better pals pdp bad apc worst stop defending,negative,0.984370231628418
67,2518,2021-04-19,@KabiruGbadebo @YeleSowore @MBuhari @EndSars @mbujari Even if at all sowore work for APC in 2015 as you've said oh as that one now denied him of criticizing what's bad and wrong?,kabirugbadebo yelesowore mbuhari endsars mbujari sowore work apc 2015 youve said oh denied criticizing whats bad wrong,positive,0.6218544840812683
68,2518,2021-04-19,"@KabiruGbadebo @YeleSowore @MBuhari @EndSars @mbujari That your take is the hardship you're zipping right now bcus you've no brain and wisdom to know what's right from what's bad...kindly bring out where sowore campaigned or advertise Buhari to Nigerians 
Oloriburuku lopoju ninu yin",kabirugbadebo yelesowore mbuhari endsars mbujari hardship youre zipping right bcus youve brain wisdom know whats right whats badkindly bring sowore campaigned advertise buhari nigerians oloriburuku lopoju ninu yin,negative,0.7951884269714355
69,3828,2021-04-19,"@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Daddy Pig . . . 2019 result has not benefitted Nigerians. They have a right to complain,",bigdaddy01 yelesowore mbuhari endsars mbujari daddy pig 2019 result benefitted nigerians right complain,positive,0.9307996034622192
70,2518,2021-04-19,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Can you see how useless this ma is? Sowore was talking about lives you're talking about election reports..it shall not be well with your soul as from this morning,bigdaddy01 yelesowore mbuhari endsars mbujari useless ma sowore talking lives youre talking election reportsit shall soul morning,negative,0.592284083366394
71,3023,2021-04-19,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Why can't they flush the real terrorist bolo haram? Yeye people,babangidarimi1 yelesowore mbuhari endsars mbujari cant flush real terrorist bolo haram yeye people,negative,0.9993128776550293
72,3046,2021-04-19,@YeleSowore @MBuhari @EndSars @mbujari Strong terrorist,yelesowore mbuhari endsars mbujari strong terrorist,negative,0.8785239458084106
73,4233,2021-04-19,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari All the above and the grant thief sowore. What do you call someone who collect money from opposition and foreigners to course crisis in your country while your wife and children are in America? So sowore is a big Terrorist.,babangidarimi1 yelesowore mbuhari endsars mbujari grant thief sowore collect money opposition foreigners course crisis country wife children america sowore big terrorist,negative,0.9977672100067139
74,19,2021-04-19,@YeleSowore @UzonnaErnest @MBuhari @EndSars @mbujari new style of wearing a face mask,yelesowore uzonnaernest mbuhari endsars mbujari new style wearing face mask,positive,0.9659080505371094
75,5315,2021-04-19,@Abubakar_myusuf @Nejovi2 @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari One thing is common about you notherners...you support yourself even if do a wrong thing 👌,abubakarmyusuf nejovi2 babangidarimi1 yelesowore mbuhari endsars mbujari thing common nothernersyou support wrong thing ,negative,0.9395790696144104
76,38,2021-04-19,"@YeleSowore @MBuhari @EndSars @mbujari He will not end well, many people in obigbo I witnessed it, chai is well",yelesowore mbuhari endsars mbujari end people obigbo witnessed chai,negative,0.8399857878684998
77,3398,2021-04-19,@YeleSowore @MBuhari @EndSars @mbujari Sowore..... you will never success in your life Nigeria will success  useless sowore,yelesowore mbuhari endsars mbujari sowore success life nigeria success useless sowore,negative,0.8842394351959229
78,6060,2021-04-19,@TonyMatt14 @YeleSowore @EndSars I love the way you talk in irony,tonymatt14 yelesowore endsars love way talk irony,positive,0.9950306415557861
79,159,2021-04-19,@Nejovi2 @babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari For saying the truth ..???😂😂😂,nejovi2 babangidarimi1 leezamba yelesowore mbuhari endsars mbujari saying truth ,positive,0.8803563714027405
80,6060,2021-04-19,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari What about Boko Haram.,babangidarimi1 yelesowore mbuhari endsars mbujari boko haram,negative,0.9872676730155945
81,279,2021-04-19,@YeleSowore @MBuhari @EndSars @mbujari 😔 😔 😔,yelesowore mbuhari endsars mbujari   ,negative,0.6848366260528564
82,1551,2021-04-19,@YeleSowore @MBuhari @EndSars @mbujari @save_video,yelesowore mbuhari endsars mbujari savevideo,positive,0.973578929901123
83,2623,2021-04-19,@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari You seems to be man without brain.,babangidarimi1 leezamba yelesowore mbuhari endsars mbujari man brain,positive,0.8507646918296814
84,1300,2021-04-19,"@YeleSowore @MBuhari @EndSars @mbujari You rooted for Buhari in 2015 despite our warnings,the man chequered is never in doubt. Buhari  truncated our democracy in 1983,he believes so much in tribe and religion till date",yelesowore mbuhari endsars mbujari rooted buhari 2015 despite warningsthe man chequered doubt buhari truncated democracy 1983he believes tribe religion till date,negative,0.770110011100769
85,4707,2021-04-19,@YeleSowore @MBuhari @EndSars @mbujari Haaaaa! Baba Buhari!  They said you should go and resign!  Continuity koo konkobility ni🤣,yelesowore mbuhari endsars mbujari haaaaa baba buhari said resign continuity koo konkobility ni🤣,negative,0.9962957501411438
86,2840,2021-04-19,"@YeleSowore @MBuhari @EndSars @mbujari Most of you that still thinks Sowore brought this papa to power, try what he his trying for just one day.",yelesowore mbuhari endsars mbujari thinks sowore brought papa power try trying day,positive,0.966832160949707
87,4623,2021-04-19,@YeleSowore @MBuhari @EndSars @mbujari Continuity kill you there,yelesowore mbuhari endsars mbujari continuity kill,negative,0.7663437128067017
88,5571,2021-04-19,"@YeleSowore @MBuhari @EndSars @mbujari #FreeKogi2 #FreeKogi2 #FreeKogi2 #FreeKogi2 #FreeKogi2 #FreeKogi2…The innocent boys that were detained and brutally injured should be release, as soon as possible.
#FreeKogi2",yelesowore mbuhari endsars mbujari freekogi2 freekogi2 freekogi2 freekogi2 freekogi2 freekogi2…the innocent boys detained brutally injured release soon possible freekogi2,negative,0.6381121277809143
89,175,2021-04-19,@YeleSowore @MBuhari @EndSars @mbujari Grant Commander of Nigeria has spoken,yelesowore mbuhari endsars mbujari grant commander nigeria spoken,positive,0.6757538318634033
90,2470,2021-04-19,@YeleSowore @MBuhari @EndSars @mbujari He has been a Failure in every aspect of is Goverment &amp; without Remorse,yelesowore mbuhari endsars mbujari failure aspect goverment amp remorse,negative,0.9997079968452454
91,2527,2021-04-19,@YeleSowore @MBuhari @EndSars @mbujari They are coming for you idiot,yelesowore mbuhari endsars mbujari coming idiot,negative,0.9616493582725525
92,2937,2021-04-19,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari If nah your papa bon you show your real face on your profile omoale apofungbemu ayirada  suffering and smiling onijere with that your stupid comment (oni fake account),bigdaddy01 yelesowore mbuhari endsars mbujari nah papa bon real face profile omoale apofungbemu ayirada suffering smiling onijere stupid comment oni fake account,negative,0.9979174733161926
93,2985,2021-04-19,"@YeleSowore @MBuhari @EndSars @mbujari The manufactures of the N95 mask worn by this imposter of a presidency never designed it to be worn BELOW THE EARS. This thing is fake. Who in the world wears N95s like this if not by the ""PRESIDENCY""",yelesowore mbuhari endsars mbujari manufactures n95 mask worn imposter presidency designed worn ears thing fake world wears n95s like presidency,negative,0.997809112071991
94,6133,2021-04-19,@vinxxehi @Janet_Aderinpe @YeleSowore @MBuhari @EndSars @mbujari Naija is finished,vinxxehi janetaderinpe yelesowore mbuhari endsars mbujari naija finished,negative,0.5152913331985474
95,6133,2021-04-19,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari U no well,bigdaddy01 yelesowore mbuhari endsars mbujari u,positive,0.7179229855537415
96,6133,2021-04-19,"@TonyMatt14 @YeleSowore @EndSars Buhari is a great calamity.
None of his generation shall know peace",tonymatt14 yelesowore endsars buhari great calamity generation shall know peace,positive,0.9944605827331543
97,6133,2021-04-19,@YeleSowore @MBuhari @EndSars @mbujari Buhari is the worst thing to happen to Nigeria,yelesowore mbuhari endsars mbujari buhari worst thing happen nigeria,negative,0.945672869682312
98,4156,2021-04-18,@YeleSowore @MBuhari @EndSars @mbujari Blood thirsty old man.,yelesowore mbuhari endsars mbujari blood thirsty old man,positive,0.9163671135902405
99,1837,2021-04-18,@YeleSowore @MBuhari @EndSars @mbujari But falana need to tell this boy that he will not end we'll if he continues like this.,yelesowore mbuhari endsars mbujari falana need tell boy end continues like,positive,0.7951671481132507
100,3117,2021-04-18,@YeleSowore @MBuhari @EndSars @mbujari This man has lost his memory and his is not him self again,yelesowore mbuhari endsars mbujari man lost memory self,negative,0.9732764959335327
101,4518,2021-04-18,@YeleSowore @MBuhari @EndSars @mbujari I  only heard continity😂😂😂😂🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️,yelesowore mbuhari endsars mbujari heard continity‍‍‍‍‍‍,positive,0.9708633422851562
102,4922,2021-04-18,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You're a collateral mumu.,bigdaddy01 yelesowore mbuhari endsars mbujari youre collateral mumu,positive,0.819713294506073
103,4255,2021-04-18,@YeleSowore @MBuhari @EndSars @mbujari 😂😂😂😂😂😂😂😂😂😂😂,yelesowore mbuhari endsars mbujari ,negative,0.6848366260528564
104,5614,2021-04-18,"@Thedarkhorse123 @YeleSowore @MBuhari @EndSars @mbujari @DrIsaPantami @HMKemiAdeosun Asking as if u don't know, those DSS guys don't do no screening, they are just there to take orders.",thedarkhorse123 yelesowore mbuhari endsars mbujari drisapantami hmkemiadeosun asking u dont know dss guys dont screening orders,negative,0.9916203022003174
