,username,date,content,preprocess_content,sentiment,sentiment_score
28,StPee12,2021-04-19 17:52:16+00:00,"@YeleSowore @MBuhari @EndSars @mbujari @SoworeOmoyele I don't know how you will be able to face the judgement of God that will soon come upon you. So you knew Buhari is a terrorist, and you used your Platform to deceive Nigerians to vote for him? Buhari's terrorist activities will soon catch up with you. Nonsense.",yelesowore mbuhari endsars mbujari soworeomoyele dont know able face judgement god soon come knew buhari terrorist platform deceive nigerians vote buharis terrorist activities soon catch nonsense,negative,0.9763219356536865
29,beylag,2021-04-19 17:43:18+00:00,@YeleSowore @MBuhari @EndSars @mbujari I now know you will soon choke on your hatered of Buhari. You have totally lost your senses. You're like a hungry lion between a herd of buffaloes fighting for his life. We all know what the outcome will be. The End!,yelesowore mbuhari endsars mbujari know soon choke hatered buhari totally lost senses youre like hungry lion herd buffaloes fighting life know outcome end,negative,0.998477041721344
30,_BigDaddy01,2021-04-19 17:37:02+00:00,"@horlayemmy @YeleSowore @MBuhari @EndSars @mbujari thank you crude olodo, buruku! God have mercy on you.",horlayemmy yelesowore mbuhari endsars mbujari thank crude olodo buruku god mercy,positive,0.963444709777832
31,lee_zamba,2021-04-19 17:36:18+00:00,@Abubakar_myusuf @Nejovi2 @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari No one will insult you if you are not displaying any symptom of stupidity or ignorance on a social media platform...”for every action there is always an equal and opposite reaction”,abubakarmyusuf nejovi2 babangidarimi1 yelesowore mbuhari endsars mbujari insult displaying symptom stupidity ignorance social media platform”for action equal opposite reaction”,negative,0.9990078806877136
32,_BigDaddy01,2021-04-19 17:36:11+00:00,@Prince74143920 @YeleSowore @MBuhari @EndSars @mbujari and this filthy pig? what exactly are you blabing?,prince74143920 yelesowore mbuhari endsars mbujari filthy pig exactly blabing,negative,0.9999592304229736
33,_BigDaddy01,2021-04-19 17:35:23+00:00,"@NPMsmoothie @YeleSowore @MBuhari @EndSars @mbujari who are you to judge people either bad or good, I hope you were good.",npmsmoothie yelesowore mbuhari endsars mbujari judge people bad good hope good,negative,0.8207523226737976
34,_BigDaddy01,2021-04-19 17:34:17+00:00,"@MoyinoluwaVict4 @YeleSowore @MBuhari @EndSars @mbujari that is if you are the one presiding over people's souls, ...taught.",moyinoluwavict4 yelesowore mbuhari endsars mbujari presiding peoples souls taught,positive,0.9865686893463135
35,_BigDaddy01,2021-04-19 17:33:09+00:00,"@WaleJimoh10 @YeleSowore @MBuhari @EndSars @mbujari you look like a gentleman now, alias, agbero!!! sorry",walejimoh10 yelesowore mbuhari endsars mbujari look like gentleman alias agbero sorry,negative,0.9992582201957703
36,Obiejazzyup,2021-04-19 16:33:23+00:00,@adekzee1 @YeleSowore @MBuhari @EndSars @mbujari #ESN and #IPOB are not terrorists.they are protecting the south east from the terrorist created by @MBuhari to wipe other region out and islamize the country,adekzee1 yelesowore mbuhari endsars mbujari esn ipob terroriststhey protecting south east terrorist created mbuhari wipe region islamize country,negative,0.6479647159576416
37,CRITICSNEWS1,2021-04-19 14:22:01+00:00,"@YeleSowore @bamanalist @MBuhari @EndSars @mbujari But you are still supporting One failed useless Nigeria, #SayNoTo1Nigeria #EndNigeriaNow #DivideNigeria #BiafraExit #Stop",yelesowore bamanalist mbuhari endsars mbujari supporting failed useless nigeria saynoto1nigeria endnigerianow dividenigeria biafraexit stop,negative,0.9788040518760681
38,Kar97622898,2021-04-19 14:05:38+00:00,"@YeleSowore @ayemojubar @MBuhari @EndSars @mbujari To those southern one Nigerianists have u ever sat down and think about the people u doing one Nigeria wit.the Northern Nomadic Fulani People that only contribute terrorism, economy disaster,massive looting,nomadic and backwardness to the one Nigeria
@YeleSowore 
@MaziNnamdiKanu https://t.co/lxhqaOQFzH",yelesowore ayemojubar mbuhari endsars mbujari southern nigerianists u sat think people u nigeria witthe northern nomadic fulani people contribute terrorism economy disastermassive lootingnomadic backwardness nigeria yelesowore mazinnamdikanu,negative,0.941253125667572
39,charlespaul731,2021-04-19 13:53:18+00:00,@YeleSowore @ayemojubar @MBuhari @EndSars @mbujari We must never exclude @GovWike from that crime against humanity in Obigbo. Shameful Wike the #littlehitler is a murderer.,yelesowore ayemojubar mbuhari endsars mbujari exclude govwike crime humanity obigbo shameful wike littlehitler murderer,negative,0.9880293011665344
40,Djeee12345,2021-04-19 13:37:54+00:00,@YeleSowore @MBuhari @EndSars @mbujari Northerners are the problem of this country.,yelesowore mbuhari endsars mbujari northerners problem country,negative,0.8483659029006958
41,tcojike,2021-04-19 13:32:12+00:00,"@JessicaOgwatar @MBuhari @EndSars @mbujari Ever since he took over, terrorism spreads like wildfire in Nigeria",jessicaogwatar mbuhari endsars mbujari took terrorism spreads like wildfire nigeria,negative,0.9255896806716919
42,tcojike,2021-04-19 13:31:27+00:00,@JessicaOgwatar @MBuhari @EndSars @mbujari Boko Haram Patron,jessicaogwatar mbuhari endsars mbujari boko haram patron,positive,0.8199641704559326
43,falusteelgmail1,2021-04-19 13:25:39+00:00,@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Which you are number one among them,babangidarimi1 leezamba yelesowore mbuhari endsars mbujari number,positive,0.7038077116012573
44,lee_zamba,2021-04-19 12:15:15+00:00,@ayfbeloved @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Am also waiting for his response on this ☝️,ayfbeloved babangidarimi1 yelesowore mbuhari endsars mbujari waiting response ,negative,0.8355140089988708
45,adekzee1,2021-04-19 12:08:52+00:00,@Obiejazzyup @YeleSowore @MBuhari @EndSars @mbujari Is Buhari the sponsor of ESN and IPOB terrorizing the SE region too?,obiejazzyup yelesowore mbuhari endsars mbujari buhari sponsor esn ipob terrorizing se region,negative,0.7024206519126892
46,JessicaOgwatar,2021-04-19 12:03:48+00:00,Buhari is a terrorist: @mbuhari ordered the massacre of  1k Shiites in one night; he ordered the massacre of  #IPOB members at a peaceful gathering in a secondary schl; he  ordered the massacre of peaceful  @endsars protesters at #Lekkitollgate @mbujari ordered killings at Obigbo,buhari terrorist mbuhari ordered massacre 1k shiites night ordered massacre ipob members peaceful gathering secondary schl ordered massacre peaceful endsars protesters lekkitollgate mbujari ordered killings obigbo,negative,0.9924649000167847
47,Nnabugo11,2021-04-19 11:39:56+00:00,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Very soon you will also be flushed out. Aboki janjaweed,babangidarimi1 yelesowore mbuhari endsars mbujari soon flushed aboki janjaweed,positive,0.7536511421203613
48,german_afro,2021-04-19 11:24:39+00:00,"@couture_fh @YeleSowore @MBuhari @EndSars @mbujari I believe we need to focus on ""End badgovernance"" by ensuring only the right persons are elected onwards. When this is successfully done, a referendum for Biafra and Odua exit would be possible without bloodshed.",couturefh yelesowore mbuhari endsars mbujari believe need focus end badgovernance ensuring right persons elected onwards successfully referendum biafra odua exit possible bloodshed,positive,0.8595155477523804
49,ayfbeloved,2021-04-19 11:24:25+00:00,"@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Hope you know your government is giving them amnesty and robbing hands with them? This government needs to be flush out ryt? Pls say something about pantami, bandits and Fulani herdsmen",babangidarimi1 leezamba yelesowore mbuhari endsars mbujari hope know government giving amnesty robbing hands government needs flush ryt pls pantami bandits fulani herdsmen,negative,0.7970604300498962
50,gaizka,2021-04-19 10:54:29+00:00,"@YeleSowore @MBuhari @EndSars @mbujari Please note how the reported has been ""encouraged"" to say ""well deserved rest"". In reality, Buhari was ousted by diaspora Nigerians.",yelesowore mbuhari endsars mbujari note reported encouraged deserved rest reality buhari ousted diaspora nigerians,positive,0.6337664723396301
51,dfreedom_s,2021-04-19 10:49:16+00:00,@monami911 @TonyMatt14 @YeleSowore @EndSars OMG! You just said it all!,monami911 tonymatt14 yelesowore endsars omg said,negative,0.5644961595535278
52,ehiejr,2021-04-19 10:42:23+00:00,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari You have made your dim tweet. Now go and collect your N500,bigdaddy01 yelesowore mbuhari endsars mbujari dim tweet collect n500,negative,0.9995792508125305
53,yemight63652,2021-04-19 10:35:23+00:00,@YeleSowore @MBuhari @EndSars @mbujari Continuity to your hardship Regime abi.  God is watching you,yelesowore mbuhari endsars mbujari continuity hardship regime abi god watching,negative,0.7783147692680359
54,yemight63652,2021-04-19 10:33:53+00:00,@adurojadgreat @babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Don't blame him he is a cow,adurojadgreat babangidarimi1 leezamba yelesowore mbuhari endsars mbujari dont blame cow,negative,0.8522740602493286
55,yemight63652,2021-04-19 10:32:21+00:00,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Boko haram is not a terrorist aboki mumu boi,babangidarimi1 yelesowore mbuhari endsars mbujari boko haram terrorist aboki mumu boi,negative,0.9332033395767212
56,9jaVolunteers,2021-04-19 10:03:32+00:00,"@YeleSowore @MBuhari @EndSars @mbujari Man all your claims are baseless 🤨. We all know Shiites are naturally terrorists, IPOB have evil intents to destroy the country while no one died at the Lekki toll gate...hide your face man you a thief !",yelesowore mbuhari endsars mbujari man claims baseless 🤨 know shiites naturally terrorists ipob evil intents destroy country died lekki toll gatehide face man thief,negative,0.997631311416626
57,koyejob72,2021-04-19 09:59:14+00:00,"@YeleSowore @MBuhari @EndSars @mbujari Avram Sowore grant, wehdon sa",yelesowore mbuhari endsars mbujari avram sowore grant wehdon sa,positive,0.9940886497497559
58,Abubakar_myusuf,2021-04-19 09:57:08+00:00,@lee_zamba @Nejovi2 @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari One thing in common about you southerners is insult....,leezamba nejovi2 babangidarimi1 yelesowore mbuhari endsars mbujari thing common southerners insult,negative,0.9992904663085938
59,ObadimuOlushola,2021-04-19 09:38:21+00:00,@YeleSowore @MBuhari @EndSars @mbujari It's time we rise up in unity and strong protest to say no to this barbaric governance.,yelesowore mbuhari endsars mbujari time rise unity strong protest barbaric governance,negative,0.8644323348999023
60,WaleJimoh10,2021-04-19 09:25:43+00:00,@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari Fulani Herdsmen?,babangidarimi1 leezamba yelesowore mbuhari endsars mbujari fulani herdsmen,negative,0.5710617303848267
61,riverjosh3814,2021-04-19 09:25:06+00:00,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari FOOLS.... Dementia is ur problem,babangidarimi1 yelesowore mbuhari endsars mbujari fools dementia ur problem,negative,0.9974021911621094
62,ashiru_easy,2021-04-19 09:14:17+00:00,@MoyinoluwaVict4 @TtifeB @YeleSowore @MBuhari @EndSars @mbujari Please you people should pay that lady her grant,moyinoluwavict4 ttifeb yelesowore mbuhari endsars mbujari people pay lady grant,negative,0.5832582712173462
63,ashiru_easy,2021-04-19 09:13:14+00:00,@MoyinoluwaVict4 @TtifeB @YeleSowore @MBuhari @EndSars @mbujari I know you chop something among the grand,moyinoluwavict4 ttifeb yelesowore mbuhari endsars mbujari know chop grand,positive,0.9872976541519165
64,MoyinoluwaVict4,2021-04-19 09:09:42+00:00,@TtifeB @YeleSowore @MBuhari @EndSars @mbujari Sowore is not Buhari mate when it comes humanity and tolerance ...but it's just a pity that you're hiding your picture on this app bcus you're a coward ...if e sure for you upload your picture make we see who dey call sowore sowogrant ...I know they're paying you for doing this,ttifeb yelesowore mbuhari endsars mbujari sowore buhari mate comes humanity tolerance pity youre hiding picture app bcus youre coward e sure upload picture dey sowore sowogrant know theyre paying,positive,0.6755602955818176
65,MoyinoluwaVict4,2021-04-19 09:07:43+00:00,@EweteOluwasegun @YeleSowore @MBuhari @EndSars @mbujari Bring forth your proofs and evidence ....na so you said sowore was working for APC back then now it's Grant ...and still yet your family name no popular reach sowore name in this world,eweteoluwasegun yelesowore mbuhari endsars mbujari bring forth proofs evidence na said sowore working apc grant family popular reach sowore world,positive,0.9944024682044983
66,MoyinoluwaVict4,2021-04-19 09:06:10+00:00,"@EmekaEdeh @YeleSowore @MBuhari @EndSars @mbujari What's your warnings? And while Jonathan was in office was Nigeria getting better among it pals?
PDP is bad
APC is worst 
Stop defending any of them",emekaedeh yelesowore mbuhari endsars mbujari whats warnings jonathan office nigeria getting better pals pdp bad apc worst stop defending,negative,0.9843701124191284
67,MoyinoluwaVict4,2021-04-19 09:04:47+00:00,@KabiruGbadebo @YeleSowore @MBuhari @EndSars @mbujari Even if at all sowore work for APC in 2015 as you've said oh as that one now denied him of criticizing what's bad and wrong?,kabirugbadebo yelesowore mbuhari endsars mbujari sowore work apc 2015 youve said oh denied criticizing whats bad wrong,positive,0.6218513250350952
68,MoyinoluwaVict4,2021-04-19 09:03:37+00:00,"@KabiruGbadebo @YeleSowore @MBuhari @EndSars @mbujari That your take is the hardship you're zipping right now bcus you've no brain and wisdom to know what's right from what's bad...kindly bring out where sowore campaigned or advertise Buhari to Nigerians 
Oloriburuku lopoju ninu yin",kabirugbadebo yelesowore mbuhari endsars mbujari hardship youre zipping right bcus youve brain wisdom know whats right whats badkindly bring sowore campaigned advertise buhari nigerians oloriburuku lopoju ninu yin,negative,0.7951875329017639
69,WaleJimoh10,2021-04-19 09:01:51+00:00,"@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Daddy Pig . . . 2019 result has not benefitted Nigerians. They have a right to complain,",bigdaddy01 yelesowore mbuhari endsars mbujari daddy pig 2019 result benefitted nigerians right complain,positive,0.9308000206947327
70,MoyinoluwaVict4,2021-04-19 09:00:43+00:00,@_BigDaddy01 @YeleSowore @MBuhari @EndSars @mbujari Can you see how useless this ma is? Sowore was talking about lives you're talking about election reports..it shall not be well with your soul as from this morning,bigdaddy01 yelesowore mbuhari endsars mbujari useless ma sowore talking lives youre talking election reportsit shall soul morning,negative,0.5922824740409851
71,OsagieUyi3,2021-04-19 08:49:13+00:00,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari Why can't they flush the real terrorist bolo haram? Yeye people,babangidarimi1 yelesowore mbuhari endsars mbujari cant flush real terrorist bolo haram yeye people,negative,0.9993128776550293
72,OweiboStephen,2021-04-19 08:37:07+00:00,@YeleSowore @MBuhari @EndSars @mbujari Strong terrorist,yelesowore mbuhari endsars mbujari strong terrorist,negative,0.8785237669944763
73,audu_alamin,2021-04-19 08:33:06+00:00,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari All the above and the grant thief sowore. What do you call someone who collect money from opposition and foreigners to course crisis in your country while your wife and children are in America? So sowore is a big Terrorist.,babangidarimi1 yelesowore mbuhari endsars mbujari grant thief sowore collect money opposition foreigners course crisis country wife children america sowore big terrorist,negative,0.9977672100067139
74,2Nwajiugo,2021-04-19 08:22:08+00:00,@YeleSowore @UzonnaErnest @MBuhari @EndSars @mbujari new style of wearing a face mask,yelesowore uzonnaernest mbuhari endsars mbujari new style wearing face mask,positive,0.9659081697463989
75,lee_zamba,2021-04-19 08:09:01+00:00,@Abubakar_myusuf @Nejovi2 @babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari One thing is common about you notherners...you support yourself even if do a wrong thing 👌,abubakarmyusuf nejovi2 babangidarimi1 yelesowore mbuhari endsars mbujari thing common nothernersyou support wrong thing ,negative,0.9395787715911865
76,6tem2,2021-04-19 07:48:18+00:00,"@YeleSowore @MBuhari @EndSars @mbujari He will not end well, many people in obigbo I witnessed it, chai is well",yelesowore mbuhari endsars mbujari end people obigbo witnessed chai,negative,0.8399850130081177
77,Shafiusani17,2021-04-19 07:10:48+00:00,@YeleSowore @MBuhari @EndSars @mbujari Sowore..... you will never success in your life Nigeria will success  useless sowore,yelesowore mbuhari endsars mbujari sowore success life nigeria success useless sowore,negative,0.884239137172699
78,seke4christ,2021-04-19 07:09:01+00:00,@TonyMatt14 @YeleSowore @EndSars I love the way you talk in irony,tonymatt14 yelesowore endsars love way talk irony,positive,0.9950306415557861
79,Abubakar_myusuf,2021-04-19 07:08:57+00:00,@Nejovi2 @babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari For saying the truth ..???😂😂😂,nejovi2 babangidarimi1 leezamba yelesowore mbuhari endsars mbujari saying truth ,positive,0.8803558349609375
80,seke4christ,2021-04-19 07:04:26+00:00,@babangidarimi1 @YeleSowore @MBuhari @EndSars @mbujari What about Boko Haram.,babangidarimi1 yelesowore mbuhari endsars mbujari boko haram,negative,0.9872674345970154
81,AhiabaAkoji,2021-04-19 06:45:30+00:00,@YeleSowore @MBuhari @EndSars @mbujari 😔 😔 😔,yelesowore mbuhari endsars mbujari   ,negative,0.6848365664482117
82,GodspowerTrust,2021-04-19 06:39:04+00:00,@YeleSowore @MBuhari @EndSars @mbujari @save_video,yelesowore mbuhari endsars mbujari savevideo,positive,0.973578691482544
83,Nejovi2,2021-04-19 06:13:32+00:00,@babangidarimi1 @lee_zamba @YeleSowore @MBuhari @EndSars @mbujari You seems to be man without brain.,babangidarimi1 leezamba yelesowore mbuhari endsars mbujari man brain,positive,0.8507638573646545
84,EmekaEdeh,2021-04-19 05:10:26+00:00,"@YeleSowore @MBuhari @EndSars @mbujari You rooted for Buhari in 2015 despite our warnings,the man chequered is never in doubt. Buhari  truncated our democracy in 1983,he believes so much in tribe and religion till date",yelesowore mbuhari endsars mbujari rooted buhari 2015 despite warningsthe man chequered doubt buhari truncated democracy 1983he believes tribe religion till date,negative,0.7701103687286377
85,esther_ashaolu,2021-04-19 04:38:54+00:00,@YeleSowore @MBuhari @EndSars @mbujari Haaaaa! Baba Buhari!  They said you should go and resign!  Continuity koo konkobility ni🤣,yelesowore mbuhari endsars mbujari haaaaa baba buhari said resign continuity koo konkobility ni🤣,negative,0.9962957501411438
86,Okehjames,2021-04-19 04:38:23+00:00,"@YeleSowore @MBuhari @EndSars @mbujari Most of you that still thinks Sowore brought this papa to power, try what he his trying for just one day.",yelesowore mbuhari endsars mbujari thinks sowore brought papa power try trying day,positive,0.9668323993682861
87,dufflemoric,2021-04-19 04:38:01+00:00,@YeleSowore @MBuhari @EndSars @mbujari Continuity kill you there,yelesowore mbuhari endsars mbujari continuity kill,negative,0.7663442492485046
88,netufo_t,2021-04-19 04:35:57+00:00,"@YeleSowore @MBuhari @EndSars @mbujari #FreeKogi2 #FreeKogi2 #FreeKogi2 #FreeKogi2 #FreeKogi2 #FreeKogi2…The innocent boys that were detained and brutally injured should be release, as soon as possible.
#FreeKogi2",yelesowore mbuhari endsars mbujari freekogi2 freekogi2 freekogi2 freekogi2 freekogi2 freekogi2…the innocent boys detained brutally injured release soon possible freekogi2,negative,0.6381123661994934
89,AdamsSuleiman19,2021-04-19 04:32:26+00:00,@YeleSowore @MBuhari @EndSars @mbujari Grant Commander of Nigeria has spoken,yelesowore mbuhari endsars mbujari grant commander nigeria spoken,positive,0.6757534742355347
90,MikeOsasTega,2021-04-19 04:10:51+00:00,@YeleSowore @MBuhari @EndSars @mbujari He has been a Failure in every aspect of is Goverment &amp; without Remorse,yelesowore mbuhari endsars mbujari failure aspect goverment amp remorse,negative,0.9997079968452454
91,MrMNI2,2021-04-19 04:05:24+00:00,@YeleSowore @MBuhari @EndSars @mbujari They are coming for you idiot,yelesowore mbuhari endsars mbujari coming idiot,negative,0.9616492986679077
